iter	RMSE
0	1641.638121
1	1586.667943
2	1537.911025
3	1496.838535
4	1461.052902
5	1426.252456
6	1396.102328
7	1370.876967
8	1346.961222
9	1321.605628
10	1299.179551
11	1279.568843
12	1261.950544
13	1247.095192
14	1231.63581
15	1217.385844
16	1205.552173
17	1194.428411
18	1184.228751
19	1174.867593
20	1166.510566
21	1158.812948
22	1151.783143
23	1146.644777
24	1140.826253
25	1135.027456
26	1130.195186
27	1125.748932
28	1121.646223
29	1117.83164
30	1114.23759
31	1111.795568
32	1108.772627
33	1105.839077
34	1104.319155
35	1101.934581
36	1099.737035
37	1097.864522
38	1097.063461
39	1095.871308
40	1094.335098
41	1092.830313
42	1091.946027
43	1091.084483
44	1089.854633
45	1088.836697
46	1087.670845
47	1086.771933
48	1085.715627
49	1084.779302
50	1084.081518
51	1083.228809
52	1082.460371
53	1081.7369
54	1081.272733
55	1080.955377
56	1080.630231
57	1080.251963
58	1079.839036
59	1079.154255
60	1078.950922
61	1078.303596
62	1078.016549
63	1077.64506
64	1077.424601
65	1077.184423
66	1076.879539
67	1076.581973
68	1076.101295
69	1075.981526
70	1075.534125
71	1075.433861
72	1075.030587
73	1074.812917
74	1074.379811
75	1074.326085
76	1074.113761
77	1073.700434
78	1073.546159
79	1073.332718
80	1072.993638
81	1072.597172
82	1072.299806
83	1072.071452
84	1071.934904
85	1071.701932
86	1071.505239
87	1071.432122
88	1071.248597
89	1070.900323
90	1070.862306
91	1070.727669
92	1070.624862
93	1070.440052
94	1070.343998
95	1070.169121
96	1070.093852
97	1069.800585
98	1069.434654
99	1069.187435
100	1068.958766
101	1068.627744
102	1068.360063
103	1068.165238
104	1067.903407
105	1067.732613
106	1067.619376
107	1067.479112
108	1067.263357
