iter	Passed	Remaining
0	3	345
1	6	346
2	9	327
3	12	315
4	14	309
5	17	303
6	20	299
7	23	301
8	26	297
9	29	291
10	32	287
11	35	283
12	38	282
13	41	280
14	44	278
15	47	275
16	50	272
17	53	269
18	56	267
19	59	264
20	62	261
21	65	258
22	68	255
23	71	253
24	74	250
25	77	247
26	80	244
27	83	241
28	86	238
29	89	236
30	93	234
31	95	230
32	98	227
33	101	224
34	104	221
35	107	218
36	110	215
37	113	212
38	116	209
39	119	205
40	122	202
41	124	198
42	127	195
43	130	192
44	133	189
45	136	186
46	139	183
47	142	181
48	145	178
49	148	175
50	151	172
51	154	169
52	157	166
53	159	162
54	162	159
55	165	156
56	168	153
57	170	150
58	173	146
59	175	143
60	178	140
61	181	137
62	183	134
63	186	131
64	189	128
65	191	125
66	194	121
67	197	118
68	199	115
69	202	112
70	204	109
71	207	106
72	210	103
73	212	100
74	215	97
75	218	94
76	221	91
77	223	88
78	226	85
79	229	83
80	232	80
81	235	77
82	237	74
83	240	71
84	243	68
85	246	65
86	249	62
87	251	60
88	254	57
89	256	54
90	259	51
91	262	48
92	264	45
93	267	42
94	270	39
95	272	36
96	275	34
97	277	31
98	280	28
99	282	25
100	285	22
101	288	19
102	290	16
103	293	14
104	295	11
105	298	8
106	301	5
107	303	2
108	306	0
